SubjectID,Test,Accuracy,Trial Number,Skiped,Time
GRHG0,vertical,-0.2120565,1,False,03:54:51_11/19/2021
GRHG0,vertical,0.1451549,2,False,03:54:56_11/19/2021
GRHG0,vertical,-0.2261737,3,False,03:54:59_11/19/2021
GRHG0,vertical,-0.0535473,4,False,03:55:04_11/19/2021
GRHG0,vertical,0.01466529,5,False,03:55:09_11/19/2021
GRHG0,vertical,-0.1840457,6,False,03:55:13_11/19/2021
GRHG0,vertical,-0.09960087,7,False,03:55:17_11/19/2021
GRHG0,vertical,0.04663376,8,False,03:55:22_11/19/2021
GRHG0,vertical,-0.1957693,9,False,03:55:26_11/19/2021
GRHG0,vertical,-0.1214719,10,False,03:55:33_11/19/2021
GRHG0,vertical,-0.1539195,11,False,03:55:37_11/19/2021
GRHG0,vertical,-0.08737357,12,False,03:55:41_11/19/2021
GRHG0,vertical,0.04647058,13,False,03:55:44_11/19/2021
GRHG0,vertical,-0.0349047,14,False,03:55:50_11/19/2021
GRHG0,vertical,-0.03689382,15,False,03:55:56_11/19/2021
GRHG0,vertical,-3.805385,16,False,03:55:57_11/19/2021
GRHG0,vertical,11.88846,17,False,03:55:57_11/19/2021
GRHG0,vertical,-21.17543,18,False,03:55:58_11/19/2021
GRHG0,vertical,-1.772483,19,False,03:55:58_11/19/2021
GRHG0,vertical,5.127612,20,False,03:56:00_11/19/2021
GRHG0,tangential,-0.9324036,1,False,03:56:06_11/19/2021
GRHG0,tangential,-1.158386,2,False,03:56:10_11/19/2021
GRHG0,tangential,-1.503479,3,False,03:56:15_11/19/2021
GRHG0,tangential,-1.443542,4,False,03:56:23_11/19/2021
GRHG0,tangential,-0.669281,5,False,03:56:26_11/19/2021
GRHG0,tangential,-1.735626,6,False,03:56:30_11/19/2021
GRHG0,tangential,-1.630219,7,False,03:56:35_11/19/2021
GRHG0,tangential,-1.407318,8,False,03:56:39_11/19/2021
GRHG0,tangential,-0.9411011,9,False,03:56:44_11/19/2021
GRHG0,tangential,-0.4146423,10,False,03:56:50_11/19/2021
GRHG0,tangential,-1.445374,11,False,03:56:56_11/19/2021
GRHG0,tangential,-0.1835327,12,False,03:57:07_11/19/2021
GRHG0,tangential,-2.072571,13,False,03:57:15_11/19/2021
GRHG0,tangential,0.1631706,14,False,03:57:20_11/19/2021
GRHG0,tangential,-1.467896,15,False,03:57:23_11/19/2021
GRHG0,tangential,9.81806,16,False,03:57:26_11/19/2021
GRHG0,tangential,-0.04888916,17,False,03:57:26_11/19/2021
GRHG0,tangential,-17.75684,18,False,03:57:27_11/19/2021
GRHG0,tangential,-28.71503,19,False,03:57:29_11/19/2021
GRHG0,tangential,40.9725,20,False,03:57:29_11/19/2021

