SubjectID,Test,Accuracy,Trial Number,Skiped,Time
B0QO8,vertical,0.2262408,1,False,02:47:58_11/19/2021
B0QO8,vertical,-0.2500406,2,False,02:48:00_11/19/2021
B0QO8,vertical,0.6357992,3,False,02:48:04_11/19/2021
B0QO8,vertical,-0.1685745,4,False,02:48:07_11/19/2021
B0QO8,vertical,0.0009324838,5,False,02:48:10_11/19/2021
B0QO8,vertical,-0.2250643,6,False,02:48:13_11/19/2021
B0QO8,vertical,-0.3049474,7,False,02:48:16_11/19/2021
B0QO8,vertical,-0.1761011,8,False,02:48:21_11/19/2021
B0QO8,vertical,-0.1731189,9,False,02:48:25_11/19/2021
B0QO8,vertical,-0.3250422,10,False,02:48:29_11/19/2021
B0QO8,vertical,-0.1610025,11,False,02:48:34_11/19/2021
B0QO8,vertical,-0.06121422,12,False,02:48:36_11/19/2021
B0QO8,vertical,0.06849053,13,False,02:48:39_11/19/2021
B0QO8,vertical,0.1438282,14,False,02:48:42_11/19/2021
B0QO8,vertical,-0.1643924,15,False,02:48:45_11/19/2021
B0QO8,vertical,10.09289,16,False,02:48:46_11/19/2021
B0QO8,vertical,9.787662,17,False,02:48:46_11/19/2021
B0QO8,vertical,-10.19067,18,False,02:48:46_11/19/2021
B0QO8,vertical,-20.12823,19,False,02:48:46_11/19/2021
B0QO8,vertical,-11.23229,20,False,02:48:47_11/19/2021
B0QO8,tangential,-0.530304,1,False,02:48:51_11/19/2021
B0QO8,tangential,-2.449524,2,False,02:48:53_11/19/2021
B0QO8,tangential,3.755501,3,False,02:48:55_11/19/2021
B0QO8,tangential,0.2424927,4,False,02:48:58_11/19/2021
B0QO8,tangential,0.5644274,5,False,02:49:00_11/19/2021
B0QO8,tangential,-2.201752,6,False,02:49:02_11/19/2021
B0QO8,tangential,-3.759491,7,False,02:49:05_11/19/2021
B0QO8,tangential,2.146514,8,False,02:49:08_11/19/2021
B0QO8,tangential,2.629711,9,False,02:49:11_11/19/2021
B0QO8,tangential,2.03405,10,False,02:49:13_11/19/2021
B0QO8,tangential,1.180741,11,False,02:49:15_11/19/2021
B0QO8,tangential,0.6380615,12,False,02:49:18_11/19/2021
B0QO8,tangential,1.841754,13,False,02:49:22_11/19/2021
B0QO8,tangential,4.037847,14,False,02:49:25_11/19/2021
B0QO8,tangential,2.020369,15,False,02:49:27_11/19/2021
B0QO8,tangential,34.97194,16,False,02:49:29_11/19/2021
B0QO8,tangential,5.384476,17,False,02:49:29_11/19/2021
B0QO8,tangential,21.74986,18,False,02:49:29_11/19/2021
B0QO8,tangential,-32.62064,19,False,02:49:29_11/19/2021
B0QO8,tangential,-5.269684,20,False,02:49:29_11/19/2021

