SubjectID,Test,Accuracy,Trial Number,Skiped,Time
UM0M0,vertical,-0.2793892,1,False,02:43:54_11/19/2021
UM0M0,vertical,-0.6588402,2,False,02:43:58_11/19/2021
UM0M0,vertical,-0.2510611,3,False,02:44:02_11/19/2021
UM0M0,vertical,-0.318009,4,False,02:44:04_11/19/2021
UM0M0,vertical,-0.4531406,5,False,02:44:08_11/19/2021
UM0M0,vertical,-0.6403517,6,False,02:44:13_11/19/2021
UM0M0,vertical,-0.6563432,7,False,02:44:17_11/19/2021
UM0M0,vertical,-0.2935105,8,False,02:44:19_11/19/2021
UM0M0,vertical,-0.674553,9,False,02:44:23_11/19/2021
UM0M0,vertical,-0.5654269,10,False,02:44:28_11/19/2021
UM0M0,vertical,-0.6899557,11,False,02:44:31_11/19/2021
UM0M0,vertical,-0.6226029,12,False,02:44:34_11/19/2021
UM0M0,vertical,-0.3983042,13,False,02:44:39_11/19/2021
UM0M0,vertical,-0.6267239,14,False,02:44:42_11/19/2021
UM0M0,vertical,1.499312,15,False,02:44:46_11/19/2021
UM0M0,vertical,-18.56357,16,False,02:44:46_11/19/2021
UM0M0,vertical,1.768592,17,False,02:44:46_11/19/2021
UM0M0,vertical,-16.82461,18,False,02:44:46_11/19/2021
UM0M0,vertical,7.054412,19,False,02:44:47_11/19/2021
UM0M0,vertical,-3.685379,20,False,02:44:47_11/19/2021
UM0M0,tangential,41.32921,1,False,02:44:47_11/19/2021
UM0M0,tangential,0.04708862,2,False,02:44:55_11/19/2021
UM0M0,tangential,-2.804382,3,False,02:44:58_11/19/2021
UM0M0,tangential,-0.497345,4,False,02:45:00_11/19/2021
UM0M0,tangential,-5.963837,5,False,02:45:02_11/19/2021
UM0M0,tangential,-0.04693604,6,False,02:45:05_11/19/2021
UM0M0,tangential,-2.36734,7,False,02:45:08_11/19/2021
UM0M0,tangential,-3.617065,8,False,02:45:09_11/19/2021
UM0M0,tangential,3.403723,9,False,02:45:11_11/19/2021
UM0M0,tangential,-0.9524841,10,False,02:45:15_11/19/2021
UM0M0,tangential,-1.663635,11,False,02:45:17_11/19/2021
UM0M0,tangential,-0.813446,12,False,02:45:20_11/19/2021
UM0M0,tangential,-2.280609,13,False,02:45:23_11/19/2021
UM0M0,tangential,-4.496979,14,False,02:45:24_11/19/2021
UM0M0,tangential,-3.185486,15,False,02:45:27_11/19/2021
UM0M0,tangential,-38.3848,16,False,02:45:31_11/19/2021
UM0M0,tangential,-4.230072,17,False,02:45:31_11/19/2021
UM0M0,tangential,32.01012,18,False,02:45:31_11/19/2021
UM0M0,tangential,-23.84708,19,False,02:45:31_11/19/2021
UM0M0,tangential,-35.45248,20,False,02:45:31_11/19/2021

