SubjectID,Test,Accuracy,Trial Number,Skiped,Time
E8CLE,vertical,0.2583242,1,False,03:35:56_11/19/2021
E8CLE,vertical,0.3955538,2,False,03:36:00_11/19/2021
E8CLE,vertical,0.6059917,3,False,03:36:03_11/19/2021
E8CLE,vertical,0.3424135,4,False,03:36:08_11/19/2021
E8CLE,vertical,0.3457395,5,False,03:36:12_11/19/2021
E8CLE,vertical,0.3845118,6,False,03:36:16_11/19/2021
E8CLE,vertical,0.4370853,7,False,03:36:22_11/19/2021
E8CLE,vertical,0.4370368,8,False,03:36:24_11/19/2021
E8CLE,vertical,0.3956413,9,False,03:36:29_11/19/2021
E8CLE,vertical,0.4251127,10,False,03:36:33_11/19/2021
E8CLE,vertical,0.4434973,11,False,03:36:36_11/19/2021
E8CLE,vertical,0.1989079,12,False,03:36:39_11/19/2021
E8CLE,vertical,0.4327724,13,False,03:36:44_11/19/2021
E8CLE,vertical,0.3763716,14,False,03:36:48_11/19/2021
E8CLE,vertical,0.4319421,15,False,03:36:52_11/19/2021
E8CLE,vertical,17.18189,16,False,03:36:54_11/19/2021
E8CLE,vertical,-10.47066,17,False,03:36:54_11/19/2021
E8CLE,vertical,12.28038,18,False,03:36:55_11/19/2021
E8CLE,vertical,-9.62836,19,False,03:36:55_11/19/2021
E8CLE,vertical,5.129677,20,False,03:36:56_11/19/2021
E8CLE,tangential,1.294742,1,False,03:37:04_11/19/2021
E8CLE,tangential,1.510661,2,False,03:37:07_11/19/2021
E8CLE,tangential,1.82435,3,False,03:37:09_11/19/2021
E8CLE,tangential,2.461247,4,False,03:37:20_11/19/2021
E8CLE,tangential,3.010984,5,False,03:37:26_11/19/2021
E8CLE,tangential,2.5889,6,False,03:37:28_11/19/2021
E8CLE,tangential,2.586979,7,False,03:37:39_11/19/2021
E8CLE,tangential,2.489063,8,False,03:37:42_11/19/2021
E8CLE,tangential,2.400743,9,False,03:37:44_11/19/2021
E8CLE,tangential,1.954722,10,False,03:37:50_11/19/2021
E8CLE,tangential,3.523857,11,False,03:37:55_11/19/2021
E8CLE,tangential,2.078783,12,False,03:38:00_11/19/2021
E8CLE,tangential,2.05925,13,False,03:38:04_11/19/2021
E8CLE,tangential,2.299579,14,False,03:38:09_11/19/2021
E8CLE,tangential,2.786596,15,False,03:38:15_11/19/2021
E8CLE,tangential,31.6708,16,False,03:38:15_11/19/2021
E8CLE,tangential,-37.44952,17,False,03:38:16_11/19/2021
E8CLE,tangential,34.06996,18,False,03:38:16_11/19/2021
E8CLE,tangential,23.59663,19,False,03:38:16_11/19/2021
E8CLE,tangential,29.06272,20,False,03:38:16_11/19/2021

